title,body,source
Purpose of the Ordinance,"Prepared by: 
D.J Liggett Centre Region Planning Agency 
2643 Gateway Dr. 
State College, PA 16803 

The purpose of the ordinance is to incentivize the development of buildings which achieve a greater community good.It is observed that multi-family, student-oriented housing development has a strong market in our community.The ordinance was drafted to build upon this market by incentivizing an increase in development capacity in order to achieve the following goals: 

Goals: 

	laim-in-post""Encourage new residential construction which includes a diversity of unit sizes and types with an emphasis on units which meet the needs of and will be marketed to a wider audience of potential residents, particularly graduate students and professionals. 

	Incentivize LEED certified construction. 

	Encourage high-quality building design, the use of durable and attractive building materials, and pedestrian-oriented building frontages on the ground floor of buildings. 

The ordinance encourages new residential construction by increasing residential FAR 3.0 to 4.0 for projects that incorporate commercial uses on the first floor. In addition, the ordinance offers incentives to increase residential density even further--up to 5.0 FAR--by incorporating green building design or by designating a portion of the residential units as owner occupied. A conditional use process incorporated in the ordinance will allow projects meeting specific spatial requirements (minimum 15,000 square foot lot size, minimum 90 foot lot width on all frontages) to further develop to a residential FAR of 7.0 if they incorporate architectural details that enhance pedestrian activity, use high quality exterior building materials, or designate a portion of the residential units for professional housing. 

Provide ground floor commercial space in a part of downtown where it is not currently required and further incentive the provision of additional commercial space. 

The ordinance requires first floor commercial uses to enhance the streetscape and provide a pedestrian-oriented focus. The first floor commercial requirements in the ordinance also offer opportunities for a range of student amenities on-site to enhance walkability in this area. Additional residential incentives are provided for projects that include commercial development above the ground floor. Streetscape improvements and a study of traffic patterns will be needed to further address connections from this site to adjacent uses. 

Reduce vehicular parking requirements, through incentives, to a rate that is appropriate for development in a walkable, transit-accessible downtown environment. Encourage the development of that parking in structures that will reduce the amount of valuable land area dedicated to surface parking. 

The proposed Collegiate Overlay District supports alternate transportation modes (walking, bicycling) by requiring on-site bicycle parking and by allowing a reduction in vehicle parking if indoor bicycle parking and other bicycle amenities are provided.For projects that provide indoor, protected parking for bicycles, a 10% reduction in required vehicle parking is offered. Parking can be further reduced for projects with designated owner-occupied residential units or for projects that provide underground or structured parking. The ordinance encourages a compact, walkable development pattern that incorporates first floor commercial uses. This reduces the overall need for parking spaces and minimizes the inefficient use of land for surface parking lots. 

Balance the desire for building amenities which are believed to have a positive impact on the community with the realities of the residential housing market, financing, and building design and construction challenges. 

The Collegiate Overlay District provides developers with opportunities to maximize their property values, address current residential market demands, and offset financial costs of residential development in the downtown by providing residential density incentives such as first floor commercial, green building design, reduced parking requirements, and bicycle amenities designed to benefit the overall health and diversity of the community.",Subject Matter Expert Statement: SUBSTANTIATE
Summary,"In my opinion the Collegiate Overlay District incentivizes development opportunities in the downtown and takes advantage of the existing student-oriented market. It encourages the highest and most efficient use of a limited land resource, and supports recommendations from the Downtown State College Master Plan to add value to the community overall. 

I believe the proposed Collegiate Overlay District represents a first step in implementing the recommendations in the Downtown State College Master Plan for a ""East End Collegiate District,"" at the intersection of High Street and East College Avenue. The Master Plan recommends this location for additional student housing development in exchange for high quality design and other incentives. 

The Downtown Master Plan notes that student housing development in the downtown may remove some of the pressure for rental conversions in the Borough's stable, single-family neighborhoods. Not specifically mentioned in the Downtown Plan, but another benefit of student housing downtown is the potential to relieve pressure on the finite resources of the community's public transit system. The close proximity of students to campus and downtown amenities means a higher likelihood that walking and bicycling will be preferred modes of transportation. 

The proposed Collegiate Overlay District is consistent with the recommendations of the Downtown State College Master Plan and with the goals and policies of the Centre Region Comprehensive Plan by encouraging a dense development pattern within the designated Regional Growth Boundary, where infrastructure such as sewer, water and transportation, and community services such fire, police and transit are already in place.

In conclusion, I believethe proposed ordinance will open new development opportunities in the downtown primarily by allowing for greater residential density in exchange for community-oriented incentives such as first floor commercial uses, bicycle amenities, and good building design.",Subject Matter Expert Statement: SUBSTANTIATE
Interview Video and Transcript,"Subject Matter Expert: Substantiate 

This recording is of the substantiate subject matter expert's position statement. And, first I'm going to start out by asking you to introduce yourself. 

Sure, my name is D.J Liggett. I'm a senior planner with the Centre Regional Planning Agency. 

Great, and could you start out by telling us a little bit about some of the background materials that you used to familiarize yourself with this issue. 

Absolutely, for me this issue goes back quite a ways to the overall regional comprehensive plan that was done by all of the center region municipalities. It was initiated back in about 2010 and it was completed in 2013, and that comprehensive plan looked at the community holistically and identified growth boundary areas and preservation areas, and that led to a future land-use map for the region. The future land-use map identifies what kinds of land uses you want to see and where those land uses would be. In the Borough of State College, for obvious reasons, because it's an employment center, because the university is there, because there is a pour-down of town there, the Borough is identified as a higher density land-use area. Out of that future land-use map, and with other planning initiatives in the Borough, the Borough began a downtown master plan process, looking at what can be done in the downtown area. 

One of the suggestions that came out of that downtown master plan had to do with the east end of the downtown of the Borough, and identified specifically what they called an ""east-end collegiate district"". So the ordinance that has been developed by the Borough Planning Commission at this point mirrors a lot of the recommendations that came out of that downtown master plan. So if you consider the premise that higher density development makes sense in the Borough of State College, and you try to incentivize how you get that higher density development to occur, you start looking at an ordinance that will provide some trade-offs to a developer who may find development in the Borough of State College a little bit more expensive. Land is a little higher priced, the infrastructure is already in place, so you're not paying for those sorts of things, but you're paying for that cost of the land. So ordinances in the development of the Borough may tend to be a little more expensive and little more difficult for developers. 

One way to encourage developers to build in the Borough would be to allow them to increase density, and, as I said, the Borough is an area that has been identified as appropriate for higher-density, for a variety of reasons that I mentioned as well- the proximity to the university, the proximity to employment. So the ordinance that is under consideration right now, the Collegiate Overlay District Ordinance- it identifies as an incentive or as a bonus to the developers, the ability to increase residential density. And it's described in terms of FAR, which is a difficult concept for people to understand, but FAR basically represents floor-area ratio. And when they say they're increasing FAR from three (3) to four (4), essentially what that means is the floor-area ratio for your building is 1000 sq. ft. A FAR of three (3) means that you can have 3000 sq. ft. of residential development. If you increase that to four (4) now you can have 4000 sq. ft. of residential development. So as you increase that number, you're increasing actually as stories of a building- you add another story of residential development; it's kind of like that concept. 

So the carrot for developers to develop in the Borough would be to allow them to build higher residential density. That’s attractive to the Borough because there are a lot of student housing projects in the Borough already, there are a lot of students living in the Borough. Some of them are scattered in Borough neighborhoods living in rental conversion properties as opposed to being closer to the downtown or in campus. So identifying the east end as a location for higher student housing makes a lot of sense because it's directly across the street from Penn State University. There are a lot of student housing projects in that area already, and so this is an area that was targeted for higher residential development and specifically geared toward students. 

The density incentive is then offset by the things that the community values in terms of this development. Some of the things that the Borough has identified in the way of community values are first floor commercial use. So in this ordinance you're required to put in first floor commercial. That's a benefit because it enhances the walkability of the downtown, it provides for amenities that are within walking or bicycling distance. 

A further benefit of having more walkability is you're finite resources that are devoted to the public transit system can now be offered to Houserville or places like Boalsburg instead of providing intense transit service to some of these student housing projects that are located outside of easy walking distance. You can provide them to folks so that they can find an affordable place to live; a single family house and an affordable place to live. So you're spreading your transit services a little more generally around the community as opposed to providing intense level of transit service to one student housing unit, so student housing in the Borough enables bicycling and walking. 

Another community value that's incorporated into the ordinance is reduction of parking. A surface parking lot is not as attractive to walk past as a commercial development or something that has some appeal to pedestrians walking by. And a surface parking is not going to provide the same kind of tax revenues to the Borough as a higher-rise building will provide there. So by allowing a reduction in parking, increasing the amount of bicycling parking that's provided as part of the building- that's another benefit that the Borough will gather from offering the incentive of higher residential development. 

The other incentive or trade-off that the Borough is requesting as a result of higher density development is higher attention to the building materials and in the buildings that are being built. So requirements for Lead certification or green-building design are incorporated into this ordinance. The outdoor building materials and the presence of the building on the street has to be of higher level in order to make it an attractive facility. So all of those community values are then provided in exchange for the developer getting a higher amount of residential development. Another provision in the ordinance, at this point, is to encourage a variety of housing types within the building so that it's all not devoted to student housing, there might be some young professional housing, there might be some graduate student housing in the building as well- so there are incentives built into the ordinance to encourage developers to address that particular need for housing in the downtown as well. 

So in a nutshell, as I said, if you believe that it's important to concentrate higher density development within the core area of the community, which I would identify as the Borough of State College, if you recognize that the development within the Borough is perhaps more expensive or more difficult for developers, then you can understand that it makes sense to offer developers an incentive in the way of a residential density bonus, where, again, it makes sense to have residential density. And then in exchange for that, request that the developer provide things like onsite bicycle parking, first floor commercial uses, a building that's Lead certified or a green building, and other amenities that will be helpful to the community in that location downtown. 

Thank you. Is there anything else about your position on this issue that you'd like to share? 

No I think that sums it up. 

Excellent, well thank you very much for your time. 

Thank you.",Subject Matter Expert Statement: SUBSTANTIATE
Introduction,"Prepared by: 
Alec J. Pringle 
1403 Circleville Road 
State College, PA 16803 

Dear Ms. Tuttle, 

I begin for thanking you for your time and consideration in including members of the community with a role in the review process of the subject ordinance draft. I feel it necessary to define my participation as that of an individual member of the community unaffiliated with my role as President of Keystone Real Estate Group, its owners, customers or employees. My comments are personal and do not reflect the opinions of any professional relationship. 

I believe in Zoning Regulations. Zoning ordinances, when scripted properly, provide clear guidelines to enhance public safety, protect property value and generally organize the utilization of land in an appropriate manner.I do not believe they are intended to be tools for the restriction of a property owner’s inherent property ownership rights. I will describe below why and how I feel this draft ordinance has failed in its purpose, which is vague and subjective.",Subject Matter Expert Statement: REFUTE
Review Commentary/Opinion,"First, the purpose of the ordinance states: The purpose of the ordinance is to incentivize the development of buildings which achieve a “greater community good.” 
	
	What is the definition of “greater community good”? 

	Who defined it? 

	Can it be quantified and measured to ensure it has been achieved? 

I suggest that if the “greater community good” includes public safety, protect property value or generally organize the utilization of land, it has not achieved any one effect. 

	Public Safety – The proposed ordinance geographic land area is located in an area of the borough that is highly underequipped with infrastructure.Creating such high density real estate (incentives all drive FAR) in an area that does not have: 

		Traffic signalization or crosswalks for pedestrian access (incentives promote reduced onsite parking and/or utilization of remote parking, which drives pedestrian traffic). 

		Dedicated bike paths for cyclists (incentives provided by encouraging bike racks). 

		Sight lines for vehicular traffic with setbacks of buildings roughly 10‐15 feet from a state roadway and directly adjacent to on street parking. 

		Supporting feeder/access road networks beyond Calder Alley, which is already a dangerous and heavily utilized traffic path for motorists and pedestrians who use it as a shortcut to avoid College and Beaver Avenues. 

		Peak pedestrian and vehicular infrastructure support. I urge the planners and/or committee to travel the routes of East College, East Beaver and East Calder during move in or move out weekends now, before an increase in density of residential development. Route 26 is limited to one lane of traffic in the easterly direction as a necessity to serve only the Meridian. The logistics of peak volume support are unachievable with increased density. 

	Protection of Property Value –The proposed ordinance creates a density closer to the east end residential district that has shown their distaste for all things pro‐growth.The geographic area is small restricting and creating a hub development available to few property owners who will now compete with the land that has equal or greater development potential of the larger commercial district. The people who purchased and developed land on blocks adjacent and did so at a premium with respect to development potential are now negatively impacted by an increased supply of land with comparable and greater use. 

	Generally Organized – While the amendment does organize uses into what are potentially appropriate categories, the land area is so small it appears to me to be a “spot zoning” hoping to promote the development potential of a minority. 

Second,the ordinance does not contain definitions associated with a broad range of terms that are the basis of incentives(Examples:Graduate Student and Professional). Who monitors these and to what standard? 

Third, the ordinance creates and promotes the undocumented occupancy with “Owner‐Occupied” incentives (Section 1812 d, i., 6). In what way could the ordinance restrict a parent from occupying the property with their son or daughter and allowing their friends (up to 5 unrelated) from staying with them “rent free”? Is that allowable? Who monitors how often the parent lives there? What if they work out of town? What if they have it as a second home? 

Fourth,the ordinance lacks measurable restrictions(Example:Section 1813, 2, iii – Pedestrian Access). The ordinance defines pedestrian access as an allowable use on the commercial level. How much of the lower level can be defined as pedestrian access? Does an ATM or laundry count as commercial use with 90% of the first level defined as pedestrian access? Has that promoted and achieved the commercial development of “the greater good”? 

Fifth,Section 1813contains subjective opinions of design. How did 50’ of continuous wall and/or 1’ of setback become “desirable” as state in Section f? Who defines the utilization of isosceles as “desirable”? What standard of architecture, engineering or art was utilized? The material restrictions of Section g are similar. Who decides what looks “nice enough for the greater good”? 

Sixth,Section 1813, h, i, 1 contains a standard for parking within 400’ of the property. How was that chosen? What land area within 400’ exists that is likely to be redeveloped for this use? 

Seventh,Section 1813, j, 1, vii., allows for utilization of fee in lieu for offsite parking. It does not contain a distance requirement for utilization of the funds. Spending funds on a parking garage 5 miles from the existing would not, in my opinion, be supportive of the intent and is left at the discretion of the borough. Section 6 allows for expenditures to be made on capital improvements of existing facilities that don’t serve the district. 

Eighth,Section 1813, j, 1, b defines public parking being developed in a more “efficient” manner. What is that metric? How is it measured? 

Ninth,Section 1813, j, 1, k, a, vi creates the requirement of a “full time manager”. What does that mean (24‐Hour Onsite, Regular Business Hours Onsite)? It also includes mitigating efforts such as cameras. What standard of design and coverage applies and is acceptable?",Subject Matter Expert Statement: REFUTE
Conclusion,"I am certain that the comments I have made above will be taken a critical. That is not my intent. Rather, the intent was to identify areas of the draft that have, in my opinion, failed to achieve the intent of the ordinance. I believe I have done so in this writing. I find the entire premise of the ordinance to be baseless with a purpose that does not provide a measurable metric of success or failure in purpose. I find the purpose of the ordinance itself to be an assemblage of superficial restrictions of a property owner’s right to develop and utilize methods found to be “undesirable” by a limited few. The entire ordinance is a failure of ours on behalf of our forefathers who wrote: 

“(t)he true foundation of a republican government is the equal right of every citizen in his person and property and in their management” – Thomas Jefferson",Subject Matter Expert Statement: REFUTE
Interview Video and Transcript (1),"So I just wanted to follow up and ask for clarification that you may have been willing to change your position on this had the ordinance been different. Can you tell me a little bit about what it would take for you to substantiate this ordinance? 

Sure. My writing in general is always about the equation and the variables and the measurable goals. My position on this could change if there was an equation, definition of variables, and measurable outcomes that came out of those. The first topic mentioned was ""serving the community greater good"". I'm not sure what that means. If it was defined in a manner that I agreed with, that would be a reason to support the ordinance in that manner. If it were defined that to extrapolate on that to say safety- was safety one of those things that served a greater good, safety has measurable restrictions to it. You know you can calm traffic with signals. You can widen roadways with bike paths. You can do the things necessary in support of this with measurable outcomes that currently aren't in the ordinance, but if written into the ordinance would say that serves this purpose. The same down the other examples that I said, but that would be the thing that could tip one way or the other on a writing and an opinion on the matter. 

Okay, thanks for sharing that. 

You're welcome.",Subject Matter Expert Statement: REFUTE
Interview Video and Transcript (2),"So this is the Subject matter expert interview for the refute statement. Hi, can you just start out by introducing yourself? 

Sure Jess, my name is Al Pringle and I'm president of the Keystone Real Estate Group in State College. I've been here for about 20 years, actually, 20 years last year, so almost 21 in State College. My background is, I have a civil engineering degree from Bucknell University and an MBA from Pitt. Nobody likes Pitt, we all like Penn State. And, I've been in this position in the development business for that full 20 years while I've been here in State College. 

Okay, can you tell me how you came to learn about this issue and how you informed your opinion about it? 

Sure, Meagan Tuttle had contacted us probably 6 or 8 months ago just for a general introduction session when she was coming to town and getting organized, we met her at that point and then as this process came through her office, she had remembered her discussions with us and reached out to me as a potential expert witness in the process. 

Okay, and could you give us your position on this ordinance? 

Sure, when Meagan reached out she had sent to me the instructions, the purpose of the ordinance, a little background work, and then the ordinance itself as well, and asked for a simple writing of do you believe whether or not this ordinance had met the purpose that it intended to create, and so that was my reading and writing from it. So I'll start by saying this, I ended in the negative to say that I don't believe it met the intended purpose. And I'll just touch on a few bullet points as to why I thought that was. 

First and foremost, we discussed a moment ago, but I'm an engineer and I love equations. Equations say to me these variables create a result and in this case I thought the variables weren't clearly defined in the result wasn't clearly defined and the purpose itself. For example, the purpose said in the first paragraph, first sentence, it was intended to achieve the greater community good. I'm not sure what that means, a greater community good means a lot of different things to a lot of different interests and interest groups, and I couldn't define that. In my writing I said a greater community good could mean things like does it have public safety, is it protecting property values, or does it generally organize the utilization of land? Those are things that could be conceived as greater community good. Not defined in the ordinance but my own definitions. From there I described this as to how I felt about the ordinance in its current draft format, did not meet current public safety protection of property value and or it mean that it was generally organized in the land. A couple examples of which public safety the location of this overlay in the downtown area is in a place where there is significant restrictions on infrastructure, there's no traffic signalization, there are no bike paths, there are limited site lines for vehicular traffic in that area and it really does not contain the supporting and feeder infrastructure of roadways, it's on the curve of Beaver Avenue into College Avenue, Calder Alley is a feeder to it and then the only one probably supporting it is East College Avenue as you travel west into town. The protection of property value, I think if you went through the downtown, there are a lot of properties that have the same intended purpose of this overlay district that would be impacted negatively by more supply. On the other hand, there are residential areas on that side of town that would say, they are going to negatively impact my neighborhood by the density it creates and the utilization in that area. That coupled with the fact that its such a small geographic area, basically a one block area, in the downtown, said to me its generally organized but awful small if there’s an intended use for a greater community good out of the land area. 

Second, as I went further in and going back to equations, and variables, variables have definitions and equations have definitions and what the ordinance lacked in my opinion was definition on any number of terms. One of the examples I gave was graduate student or professional. I don't know what that means- Is it graduate student full time? Is it graduate student part time? Online, professional? Is there an income level? How do we define those types of terms. They may be understood generally but at least the ordinance didn't specifically define what they were there for and being able to be measured against as to whether or not they met that ordinance. I'll contribute a little bit on the ordinance, it creates an undocumented occupancy process where owners are defined broadly as owning a unit. Perfect example would be, mother and father buy unit with daughter and daughter allows three unrelated relatives to live there. Is that an owner occupied unit or an undergraduate student unit? There is a potential for conflict. It lacked some measurable restrictions, the example I gave was it allowed for pedestrian access on the first floor in the retail area but didn't say how much could be pedestrian access and went so far as to show by example if I have an ATM on the first floor, that's a commercial use and an allowable use and is the rest available for pedestrian access and common space? Are we really trying to promote first floor commercial use? And if we are, we should prompt that with a restriction of what the minimum required to be at that level. 

One of the sections that I think I held in a lowest opinion was things that say whether or not a wall is 50 feet long and its desirable or not. I think those are subjective ordinances, not objective or quantitative ordinances where you can measure. You can certainly measure 50 feet and a one foot setback but to whose eyes is that desirable or undesirable? A statement like that would be more of an architectural review board than it would be in a land use ordinance in something that we were presented here. Parking, had to do with the distance of how far it would be from the site, within 400 feet of the property within 400 feet of that general area, there is no utilization for larger parking areas so by allowing it is great, but the actualization of it being used is more important. If you can get it within 400 feet, fantastic, if you can't, it should be left out of the ordinance and not a measurable statistic to achieve a variance from, or an increase from. Fees for offsite parking, all fantastic, it's great to have more dense parking, the unfortunate part is that it didn't give a restriction for how far away that could be. Building a parking garage on the west end of town with the money from the east end of town doesn't serve the purpose between the two. Generally speaking those fees have to be applied to a more restricted area. And then lastly, on that, the parking was noted as public parking was being defined as a more efficient manner. What's more efficient and how is it measured? Going right back to all these equations and variables, what do they equal when you sum them together. In conclusion, the biggest thing I want to say about this is I was critical the whole way through the process but I think that is what we were asked to do. We were asked to look at it with a critical eye and determine one way or the other. I could've easily gone to the other side of this provided a few more definitions and clarifications on what were intended here. I believe in zoning, I think zoning is a good thing, I think we all do, it serves a good of the community that I believe to be defined as it creates safety, it doesn't put hazardous waste incinerators in the backyards of a residential neighborhoods, itdoesn't create density where it's not supported by infrastructure. It helps to protect property values and those were a few of the things that I mentioned in the beginning. I don't think this ordinance creates any of that in that regard, it was more of a very subjective right on what we would like to see there.The owners of that land have certain inherent rights that they own by title for that land. Going back to King George that's how titles got passed and deeds became titles to land, that title or that deed gives that owner the inherent right to use that land as they see fit and the way that they see desirable. The specific uses of this is defined by zoning determine by whether they want to purchase that land and if they do, those rights are there. Going on subject of matter is more related as to historical review board and things of that nature that don't apply to zoning and I felt the read of this was slanted heavily in that direction of an ability to use incentive to get more versus the inherent right that comes with the property that was deeded by title to the owners. I closed with a statement from Thomas Jefferson that just says ""The true foundation of a republican government (and that's not democrat/republican, that's just a republican government) it is an equal right of every citizen and his person and property and their management."" It's the statement of one of our founding fathers and it's interesting to think that zoning and extrapolation of property in their management was in the founding fathers statements of what we do, so we believe in it but we also believe in the right that comes with it.",Subject Matter Expert Statement: REFUTE
Purpose of the CIR Process,"This draft ordinance will be sent to Borough Council to consider for adoption. In order to assist Council and the public in their review of this drafted ordinance, we are asking experts and panelists to review this ordinance through the Community Issue Review process. The primary purpose for the review of this ordinance is to answer the question: 

Will the proposed Collegiate Housing Overlay Amendment, which has been recommended by the Planning Commission, achieve its intended purpose?",Subject Matter Expert Statement: NEUTRAL
History of the Proposed Ordinance,"In 2013, Borough Council adopted the Downtown Master Plan, which provided concepts for redevelopment of various locations throughout the Borough. This adopted document prompted a property owner in downtown to explore the plan and its feasibility to promote redevelopment in the way according to the vision of the Master Plan. The property owner came forward with a series of suggestions about how the Borough’s current zoning would not achieve this vision,and a recommendation for a potential zoning district overlay which the owner believed would achieve this vision. 

The proposal was referred to the Planning Commission to review by Borough Council. Since July of 2014, the Commission has considered input by the property owner, the public, staff and its membership regarding the proposal. The Commission debated the property owner’s proposal as well as community goals and potential community impacts. Through a series of discussions, motions and edits, the Planning Commission has prepared the proposed Collegiate Housing Overlay Zoning Amendment which it has recommended be considered by Council.",Subject Matter Expert Statement: NEUTRAL
Purpose of the Ordinance,"The purpose of twhenhe ordinance is not spelled out in any one location. Rather, it was formulated through the input of the Planning Commission as it discussed this ordinance, is informed by elements of the Downtown Master Planand the Boro∂ughCouncil Strategic Plan, and is referenced in the various requirements of the proposed ordinance. 

When considering these inputs, it is understood that the purpose of the ordinance is to incentivize the development of buildings which achieve a greater community good. It is observed that multi-family, student-oriented housing developmenthas a strong market in our community. The ordinance was drafted to build upon this market by incentivizing an increase in development capacity in order to achieve the following goals: 
	
	Encourage new residential construction which includes a diversity of unit sizes and types with an emphasis on units which meet the needs of and will be marketed to a wider audience of potential residents, particularly graduate students and professionals. 

	Provide ground floor commercial space in a part of downtown where it is not currently required and further incentive the provision ofadditional commercial space. 

	Reduce vehicular parking requirements, through incentives, to a rate that is appropriate for development in a walkable, transit-accessible downtown environment. Encourage the development of that parking in structures that will reduce the amount of valuable land areadedicated to surface parking. 

	Incentivize LEED certified construction. 

	Encourage high-quality building design, the use of durable and attractive building materials, and pedestrian-oriented building frontages on the ground floor of buildings. 

	Balance the desire for building amenities which are believed to have a positive impact on the community with the realities of the residential housing market, financing, and building design and construction challenges.",Subject Matter Expert Statement: NEUTRAL
Ordinance Structure,"The ordinance has been proposed as an overlay which applies to the 500 block of E. College Avenue, for properties currently zoned Commercial. There are three elements of this ordinance, for which a brief overview is provided below: 

	The Base Overlay: Properties in the overlay which are developed with first floor commercial uses are still limited to 7 stories, but are eligible to increase the maximum building height to accommodate more modern floor-to-ceiling heights and are permitted to increase the residential Floor Area Ratio (FAR) to 4.0. Properties which utilize the overlay parameters must also provide bicycle parking. 

	The Incentives Bonuses: Properties which are developed with first floor commercial uses are eligible to utilize a series of incentives and bonuses to increase development capacity and decrease the required parking. Each incentive is eligible for a variety of bonuses as spelled out in the chart in the ordinance, and includes minimum standards which must be met to earn the bonus. These incentives include: indoor protected bicycle parking, underground parking, above ground structured parking, additional commercial uses, green building standards, and owner-occupied housing. Properties utilizing these incentives are eligible to earn bonuses which increase the potential building height up to 9 stories and potential residential density up to a 5.0 FAR. Additionally, properties may take advantage of one incentive to reduce required parking. 

	Conditional Use: Properties which have met the requirements of the Base Overlay, and have utilized the Incentives Bonuses to achieve at least a 5.0 residential FAR and 9 stories are eligible to pursue the Conditional Use process. The Conditional Use can only be applied to properties with at least 15,000 sq. ft. of lot area, and have 90 feet of frontage on all streets. The Conditional Use permits the property to increase its overall potential residential FAR to 7.0 and a potential 11 stories, and take advantage of additional parking reductions and fee-in-lieu for parking which cannot be accommodated on site, when certain conditions are met. These conditions include:

		Meets design requirements for façade, corner expression and exterior building materials; Design Review Board must review the design. 

		Meets requirements for the design of and executes a restrictive covenant for two floors of residential units which are leased to graduate students or professionals only. 

		Provides marketing materials and proof of tenancy for units which are leased to graduate students or professionals. 

		Provides additional building amenities such as community space, building access controls, and on-site building management.",Subject Matter Expert Statement: NEUTRAL
